"","id_jednostki","klasa_pr","sek","woj","zawod_kod2","waga","wolne_miejsca"
"4480","c20c6778a99a10d18a1f2fb51de65d6c2f0ca4d6","D",2,14,2,1,3
"4481","c20c6778a99a10d18a1f2fb51de65d6c2f0ca4d6","D",2,14,4,1,5
"4482","0c446601c32a47f278914d11c30da557b715426a","M",2,14,3,36,3
"4483","f251ed340528343b3c734485dd48c7813960b7f2","M",2,14,9,14,3
"4484","6cb6d6d88691ba836029ab8a3fe89d389135ba26","S",2,22,3,9,9
"4485","6cb6d6d88691ba836029ab8a3fe89d389135ba26","S",2,22,4,9,4
"4486","5ac98803484e8dfe61204f30aae85f2e7ba073de","D",2,14,3,1,13
"4487","5ac98803484e8dfe61204f30aae85f2e7ba073de","D",2,14,4,1,5
"4488","bc8ebbe0592f03dd6b28f2e999cfb73ef00ac968","D",2,24,4,1,3
"4489","bc8ebbe0592f03dd6b28f2e999cfb73ef00ac968","D",2,24,7,1,6
"4490","bc8ebbe0592f03dd6b28f2e999cfb73ef00ac968","D",2,24,8,1,8
"4491","9ced5ea723dda97f2e74daccb0163e00a3f335ea","D",2,14,4,1,1
"4492","694403bb77ff51329fa283b2c978758f2205315c","D",1,14,1,1,3
"4493","694403bb77ff51329fa283b2c978758f2205315c","D",1,14,2,1,24
"4494","694403bb77ff51329fa283b2c978758f2205315c","D",1,14,4,1,2
"4495","126cb8fa62e9f23323304e604f2c9bc37ded4287","D",2,14,2,2,3
"4496","126cb8fa62e9f23323304e604f2c9bc37ded4287","D",2,14,3,2,2
"4497","278b10afcba9df5c79bddf0c5afa7679bf193156","D",2,14,1,1,4
"4498","278b10afcba9df5c79bddf0c5afa7679bf193156","D",2,14,2,1,4
"4499","278b10afcba9df5c79bddf0c5afa7679bf193156","D",2,14,3,1,5
"4500","278b10afcba9df5c79bddf0c5afa7679bf193156","D",2,14,4,1,4
"4501","278b10afcba9df5c79bddf0c5afa7679bf193156","D",2,14,5,1,13
"4502","cee616d954ed4db3f426237d04bad07e83d0fd79","D",2,14,7,2,4
"4503","ae6c29c3523a4d95c44da80f5a66fc7d67ddfbda","D",2,16,7,1,5
"4504","ae6c29c3523a4d95c44da80f5a66fc7d67ddfbda","D",2,16,8,1,5
"4505","ac0c695a2332f8a7e32f187d1a23abe6b26b798b","D",2,20,4,1,5
"4506","ac0c695a2332f8a7e32f187d1a23abe6b26b798b","D",2,20,8,1,112
"4507","ac0c695a2332f8a7e32f187d1a23abe6b26b798b","D",2,20,9,1,2
"4508","664793d221aae5536a4b8757d1f75bd81d447bb8","S",2,24,4,9,4
"4509","19c07d125572056e47949c8584327a33a7004a92","D",2,22,2,1,7
