"","id_jednostki","klasa_pr","sek","woj","zawod_kod2","wolne_miejsca_cbop","jedna_zmiana"
"102","1028f8d2355c409a8a4efcb1edce58874e356e2d","D",1,24,2,1,FALSE
"103","57e532a3d60cd5b473d38fad462f2f220307451b","D",1,22,2,2,TRUE
"104","57e532a3d60cd5b473d38fad462f2f220307451b","D",1,22,2,2,TRUE
"105","d3eeeafdde2be6f258e04f56f8bed7ea20dcb977","S",1,32,9,2,TRUE
"106","66f5cc19826bb44f6a83dfd9c8951d99e9b246b0","D",1,4,7,2,TRUE
"107","f2e63b6c95896ed1159851eb4df29d9d4c0900ee","D",1,32,5,1,TRUE
"108","f2e63b6c95896ed1159851eb4df29d9d4c0900ee","D",1,32,9,1,TRUE
"109","8fc282d6e826b95c4ed80132e03e7b6e6201014d","D",1,10,2,1,TRUE
"110","8fc282d6e826b95c4ed80132e03e7b6e6201014d","D",1,10,5,1,TRUE
"111","3252bf6113ca3bd5a9c1b7e95bbfbac8a40dcd4f","D",1,32,9,4,TRUE
"112","77d84987658fad122d6f6bc01641b2d543e306f3","D",1,32,2,1,TRUE
"113","59d41b69297027ac62849b69a60b4aae77c4dc3b","D",1,22,2,3,TRUE
"114","be8f052d9bb919fe13a7ec9f600532421b654d68","D",1,22,2,1,FALSE
"115","be8f052d9bb919fe13a7ec9f600532421b654d68","D",1,22,2,1,FALSE
"116","be8f052d9bb919fe13a7ec9f600532421b654d68","D",1,22,2,2,TRUE
"117","d5a0573d2fd6a0e156f0b3470c0b16902953fa53","S",1,10,9,1,TRUE
"118","bbb895345bc78030baae0916497aa3e118cbfa28","D",1,32,7,1,FALSE
"119","bbb895345bc78030baae0916497aa3e118cbfa28","D",1,32,9,1,FALSE
"120","2bad1171c011123df4b6a29d0effb90305d843d1","S",1,10,5,1,TRUE
"121","8aecc35a481dadd79c4f2cf175db71d67e4ca41f","D",1,32,1,1,TRUE
"122","fdbf58065fbfe5f847ac0602f6e0372d92780792","S",1,14,2,1,FALSE
"123","04bb53532b2136ac1ea7ef90b4c8cc6cd479bfc8","S",1,8,2,1,FALSE
"124","edc76a87a36d0c93e2304a65d8fa393c4c2643aa","D",1,28,2,1,TRUE
"125","0ed2ee2d8fe2cc64d21bef4cb034732d71428d1b","D",1,4,9,2,TRUE
"126","68c88e4a883d3b40c244023557c83d0a5d0a7558","D",1,18,2,2,TRUE
"127","306eff828144c41b3be305bbed8662d2fe9ca5c5","D",1,32,9,1,TRUE
"128","974b004b4f5e652aaf8f2b0e2a084cfe0ebb0cbd","D",1,30,2,2,TRUE
"129","78bb1878ceefe56324aed81acb21f3d6cf682d89","D",1,30,4,1,TRUE
"130","ffe912107f43ba0be538c84b1ba0536cebad6801","D",1,2,2,1,FALSE
"131","ffe912107f43ba0be538c84b1ba0536cebad6801","D",1,2,2,1,TRUE
"132","ffe912107f43ba0be538c84b1ba0536cebad6801","D",1,2,9,2,FALSE
"133","305f074884551c166add1ab1a7fc8467a5eb82ab","S",1,30,9,2,FALSE
"134","b98cc52ff065622234db2ca15ba61e6623c8fba1","D",1,30,5,1,TRUE
"135","311f151b8c6e0417236495afdbe0dc2e949adf22","D",1,30,9,1,FALSE
"136","1bbc7394d0c6f4e567a190876f5e33b28c8a5a3d","D",1,30,9,1,FALSE
"137","5f2bfb283e12af14ff9a85003e6e8bee2d2c5515","D",1,14,9,1,FALSE
"138","5f2bfb283e12af14ff9a85003e6e8bee2d2c5515","D",1,14,9,1,TRUE
"139","40b567b22b7984fa367aaf9b5dbc67074c655f32","D",1,12,9,1,FALSE
"140","40b567b22b7984fa367aaf9b5dbc67074c655f32","D",1,12,9,1,TRUE
"141","72041a350094d2aa96c1f482de7eef46e928a29d","D",1,2,9,1,TRUE
"142","9f8d8c2cf5b6b816e1e45333ad77e3523f708460","D",1,4,2,2,TRUE
"143","55e20a97b7adc51b1ac3bf52ec0f417ce02e88c4","S",1,32,2,1,FALSE
"144","55e20a97b7adc51b1ac3bf52ec0f417ce02e88c4","S",1,32,2,1,FALSE
"145","5a840bacf51c30154f7d9fc36f8ea4b352441bf6","S",1,14,9,1,FALSE
"146","97ae2fbb0c948492265f12bee5288b15dcdfcccd","D",1,22,4,1,TRUE
"147","f33fef2662361bbb052256d3b179eaf208d9673e","D",1,32,3,1,FALSE
"148","c076c9abffcf4dfd48e1a27651abb8e0e5c09935","D",1,30,2,1,FALSE
"149","c076c9abffcf4dfd48e1a27651abb8e0e5c09935","D",1,30,3,1,FALSE
"150","c076c9abffcf4dfd48e1a27651abb8e0e5c09935","D",1,30,4,1,TRUE
"151","d6615f0da58ab203dd93647306d6f185bce95169","D",1,2,2,6,FALSE
"152","08450542d0259eac2f219efbefb5ee894948b1b1","D",1,4,2,1,TRUE
"153","08450542d0259eac2f219efbefb5ee894948b1b1","D",1,4,3,1,FALSE
"154","bd94453f0c0d18ead627225615e4d1943c3be199","S",1,2,3,1,TRUE
"155","d9ea520c96a59443f8479fc446cdc8da06f428fd","S",1,6,5,1,TRUE
"156","2414ea110408b6e7cee661a77221f9a2433c56af","D",1,24,2,1,TRUE
"157","2414ea110408b6e7cee661a77221f9a2433c56af","D",1,24,5,1,TRUE
"158","8a49723028d70d9d5f03e1e177d4c4b4c70ba562","D",1,22,7,1,FALSE
"159","873ea9c3a2c98db3139264362288ac43915e54a9","D",1,28,2,1,TRUE
"160","873ea9c3a2c98db3139264362288ac43915e54a9","D",1,28,3,1,TRUE
"161","d19a943c82706e26ae6f4d09b0adb25884713a75","S",1,4,5,1,FALSE
"162","15ac0ca1bfe960c49165f65152a5eddc77515817","S",1,14,3,1,TRUE
